Set,Latitude,Longitude,SiteNum,State,Region,Stratum,Determination_Final,Determination_Final_Notes,DeterminationStatus,OriginSource,OriginID,Notes,COMID,NHDPlus_Region,SourceType,DateSampled,Database,VisitNo,DateTime,SiteCode,ParentGlobalID,CalcTime,Zyear,Myear,Dyear,FritzClass,Determination_Updated
Validation,39.1663,-120.14436,592,California,WM,CA-NV,I,NA,Acceptable,USGS,10337500,NA,8934074,16,NA,8/8/2020,Validation 1_1,1,8/8/2020,CAWM0592,452f2e41-3803-474c-99f9-a80b8eab127c,8/5/2021 16:12,NA,NA,NA,NA,I
Validation,39.13213,-120.15769,595,California,WM,CA-NV,I,Gauge status confirmed by Sean Tevlin,Preferred,USGS,10336676,NA,8941685,16,NA,8/8/2020,Validation 1_1,1,8/8/2020,CAWM0595,433bab78-afd3-4f06-a793-a9dd13816b53,8/5/2021 16:12,NA,NA,NA,NA,I
Validation,39.10741,-120.16214,598,California,WM,CA-NV,P,NA,Acceptable,USGS,10336660,NA,8941693,16,NA,8/8/2020,Validation 1_1,1,8/8/2020,CAWM0598,ae75367c-b3f8-429b-8871-c46fdc61c5e6,8/5/2021 16:12,NA,NA,NA,NA,P
Validation,38.92241,-119.99157,609,California,WM,CA-NV,P,NA,Acceptable,USGS,10336610,NA,8944439,16,NA,8/7/2020,Validation 1_1,1,8/7/2020,CAWM0609,35358646-bed4-4455-a295-78ce4735d065,8/5/2021 16:12,NA,NA,NA,NA,P
Validation,38.91991,-119.9724,610,California,WM,CA-NV,P,NA,Acceptable,USGS,10336780,NA,8944453,16,NA,8/8/2020,Validation 1_1,1,8/8/2020,CAWM0610,b475a5e2-5103-4926-96c7-22da6c125aad,8/5/2021 16:12,NA,NA,NA,NA,P
Validation,38.78324,-120.77854,621,California,WM,CA-NV,I,NA,Acceptable,USGS,11444280,NA,14983396,18,NA,8/6/2020,Validation 1_1,1,8/6/2020,CAWM0621,35aa15e2-de52-4e5c-8924-8cdd1f9145b4,8/5/2021 16:12,NA,NA,NA,NA,I
Validation,38.40325,-120.44687,652,California,WM,CA-NV,P,NA,Acceptable,USGS,11316800,NA,17056582,18,NA,8/14/2020,FlowDuration004,1,8/14/2020,CAWM0652,fab5ee74-1dbb-4ae1-97f6-6ae088766aad,8/5/2021 16:12,NA,NA,NA,NA,P
Baseline,38.27908,-119.97046,657,California,WM,CA-NV,I,NA,Acceptable,USGS,11292680,NA,346973,18,NA,9/4/2019,FlowDuration004,1,9/4/2019,CAWM0657,2fef0481-c3a9-47dc-90c1-ef2a19e2212b,8/5/2021 16:12,NA,NA,NA,NA,I
Baseline,38.27908,-119.97046,657,California,WM,CA-NV,I,NA,Acceptable,USGS,11292680,NA,346973,18,NA,8/2/2020,Baseline Revisits 1_1,2,8/2/2020,CAWM0657,4cfead4a-73b2-4fda-8d12-4fb3bcef6b7c,8/5/2021 16:12,NA,NA,NA,NA,I
Validation,38.03298,-119.21654,672,California,WM,CA-NV,I,NA,Acceptable,USGS,10287069,NA,20286400,18,NA,8/2/2020,Validation 1_1,1,8/2/2020,CAWM0672,666bdc7e-1ce0-412b-a1d5-8b378f5b4ea5,8/5/2021 16:12,NA,NA,NA,NA,I
Baseline,37.84187,-120.18491,684,California,WM,CA-NV,I,NA,Acceptable,USGS,11284400,NA,17078425,18,NA,9/4/2019,FlowDuration004,1,9/4/2019,CAWM0684,cac9ca19-997c-411d-8982-3f6f5b5a5d9b,8/5/2021 16:12,114.7142857,279,97,I-epi,I
Baseline,37.84187,-120.18491,684,California,WM,CA-NV,I,NA,Acceptable,USGS,11284400,NA,17078425,18,NA,8/2/2020,Baseline Revisits 1_1,2,8/2/2020,CAWM0684,fdc3ffbe-b1e2-459d-bf2a-892628c97a3f,8/5/2021 16:12,114.7142857,279,97,I-epi,I
Baseline,37.84187,-120.18491,684,California,WM,CA-NV,I,NA,Acceptable,USGS,11284400,NA,17078425,18,NA,10/28/2020,Baseline Revisits 1_1,3,10/28/2020,CAWM0684,d281bbbe-af55-4c0b-9275-7885b639f93d,8/5/2021 16:12,114.7142857,279,97,I-epi,I
Validation,37.32578,-122.38664,697,California,WM,CA-NV,I,NA,Acceptable,USGS,11162570,NA,17687965,18,NA,8/5/2020,Validation 1_1,1,8/5/2020,CAWM0697,16d5a691-7776-40f8-9f0b-e731cb57f6d7,8/5/2021 16:12,NA,NA,NA,NA,I
Baseline,37.13689,-119.25457,718,California,WM,CA-NV,P,NA,Acceptable,USGS,11239300,NA,17116249,18,NA,9/3/2019,FlowDuration004,1,9/3/2019,CAWM0718,f238494b-0251-4bff-be45-9c58a388cbf1,8/5/2021 16:12,39.34131737,189,26,I-epi,P
Baseline,37.13689,-119.25457,718,California,WM,CA-NV,P,NA,Acceptable,USGS,11239300,NA,17116249,18,NA,8/1/2020,Baseline Revisits 1_1,2,8/1/2020,CAWM0718,1bcdc00b-ea2e-4547-ae05-f7fd076402d2,8/5/2021 16:12,39.34131737,189,26,I-epi,P
Baseline,37.13689,-119.25457,718,California,WM,CA-NV,P,NA,Acceptable,USGS,11239300,NA,17116249,18,NA,10/27/2020,Baseline Revisits 1_1,3,10/27/2020,CAWM0718,3f0f7b8c-3c82-4a2b-a2f3-093591895625,8/5/2021 16:12,39.34131737,189,26,I-epi,P
Validation,37.04439,-122.07246,720,California,WM,CA-NV,P,NA,Acceptable,USGS,11160500,NA,17682474,18,NA,8/5/2020,Validation 1_1,1,8/5/2020,CAWM0720,e2b7c9a2-0140-4425-94a8-dd755f44b83a,8/5/2021 16:12,NA,NA,NA,NA,P
Baseline,36.87967,-119.12873,724,California,WM,CA-NV,P,NA,Acceptable,USGS,11218400,NA,22057161,18,NA,9/2/2019,FlowDuration004,1,9/2/2019,CAWM0724,89a5b7c0-9616-4364-95a6-de801fc8e4bd,8/5/2021 16:12,0,365,0,P-epi,P
Baseline,36.87967,-119.12873,724,California,WM,CA-NV,P,NA,Acceptable,USGS,11218400,NA,22057161,18,NA,7/31/2020,Baseline Revisits 1_1,2,7/31/2020,CAWM0724,7d8b7ed2-d1b3-48a7-8cb9-e1d886287173,8/5/2021 16:12,0,365,0,P-epi,P
Baseline,36.87967,-119.12873,724,California,WM,CA-NV,P,NA,Acceptable,USGS,11218400,NA,22057161,18,NA,10/26/2020,Baseline Revisits 1_1,3,10/26/2020,CAWM0724,baae1032-2365-47e5-b47c-ab7ff4a8e0c7,8/5/2021 16:12,0,365,0,P-epi,P
Baseline,35.94384,-118.47592,736,California,WM,CA-NV,I,NA,Acceptable,USGS,11185600,NA,14971731,18,NA,9/1/2019,FlowDuration004,1,9/1/2019,CAWM0736,af9cbbeb-da8b-4613-982a-8c87b5c89f96,8/5/2021 16:12,NA,NA,NA,NA,I
Baseline,35.94384,-118.47592,736,California,WM,CA-NV,I,NA,Acceptable,USGS,11185600,NA,14971731,18,NA,7/30/2020,Validation 1_1,2,7/30/2020,CAWM0736,90efce7b-48d5-41c2-8995-2705a8aab12d,8/5/2021 16:12,NA,NA,NA,NA,I
Validation,39.03559,-119.94146,1822,Nevada,WM,CA-NV,I,NA,Acceptable,Sean Tevlin,NA,NA,NA,NA,NA,8/7/2020,Validation 1_1,1,8/7/2020,CAWM1822,8c074f65-43d3-4dbf-8a8b-520a28a178fd,8/5/2021 16:12,NA,NA,NA,NA,I
Validation,39.25965,-120.61537,1831,California,WM,CA-NV,I,NA,Preferred,Andy Rehn,NA,NA,NA,NA,NA,8/9/2020,Validation 1_1,1,8/9/2020,CAWM1831,159c032e-982b-4337-a7c5-5455a8a27bef,8/5/2021 16:12,NA,NA,NA,NA,I
Validation,41.31206,-122.20314,1871,California,WM,CA-NV,E,NA,Acceptable,Don Lee,None,NA,NA,NA,NA,9/8/2020,Validation 1_1,1,9/8/2020,CAWM1871,267d92f9-dda5-4989-b0e5-f22fde571dac,8/5/2021 16:12,NA,NA,NA,NA,E
Validation,38.53907,-122.91135,1882,California,WM,CA-NV,I,NA,Preferred,Gabe Rossi,NA,Has camera demonstrating drying,NA,NA,NA,6/20/2020,Validation 1_1,1,6/20/2020,CAWM1882,a76cf905-cac3-43b8-a6a4-93bd7e11394b,8/5/2021 16:12,NA,NA,NA,NA,I
Validation,40.64884,-122.98593,1891,California,WM,CA-NV,E,NA,Acceptable,Keith Bouma-Greson,NA,Points from direct communication with author,NA,NA,NA,9/5/2020,Validation 1_1,1,9/5/2020,CAWM1891,ac7b229e-a290-4c62-9712-041cf709100b,8/5/2021 16:12,NA,NA,NA,NA,E
Case Study,40.76221,-122.90281,1892,California,WM,CA-NV,E,NA,Acceptable,Lovill et al. 2018,NA,Points from direct communication with author,NA,NA,NA,7/10/2020,Validation 1_1,1,7/10/2020,CAWM1892,0f0610c0-d96f-4647-8fcd-9a154d9ba2f4,8/5/2021 16:12,NA,NA,NA,NA,E
Validation,40.76018,-122.88634,1894,California,WM,CA-NV,E,NA,Acceptable,Lovill et al. 2018,NA,Points from direct communication with author,NA,NA,NA,9/6/2020,Validation 1_1,1,9/6/2020,CAWM1894,1c3c9536-8dd5-4f30-bf04-20152b57c393,8/5/2021 16:12,NA,NA,NA,NA,E
Validation,40.78611,-122.89521,1895,California,WM,CA-NV,E,NA,Acceptable,Lovill et al. 2018,NA,Points from direct communication with author,NA,NA,NA,9/6/2020,Validation 1_1,1,9/6/2020,CAWM1895,27ac4db7-43ba-4a50-a618-931d88bb91b3,8/5/2021 16:12,NA,NA,NA,NA,E
